"nTrees","mNodes","mTry","Accuracy","Kappa","F1","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Detection.Rate","Desirability","rF_mod.SE","nDesirability"
25,29,4,0.8533,0.7074,0.8531,0.8576,0.85,0.8669,0.8721,0.4138,0.793,0.0184,0.909195138729649
25,30,6,0.8442,0.6875,0.8342,0.8197,0.8667,0.8583,0.8419,0.396,0.7772,0.0216,0.891080027516625
25,39,6,0.8453,0.6905,0.8352,0.8061,0.8833,0.8829,0.8331,0.3884,0.779,0.0209,0.893143774363678
25,40,6,0.854,0.7058,0.8387,0.803,0.9,0.89,0.8389,0.3877,0.7868,0.0199,0.902086677367576
25,44,2,0.8616,0.7218,0.8478,0.803,0.9167,0.9081,0.8371,0.3877,0.7961,0.0104,0.912749369410686
25,52,6,0.8707,0.7417,0.8666,0.8591,0.8833,0.8885,0.8732,0.4141,0.8111,0.0202,0.929947259802798
25,61,9,0.8446,0.688,0.8303,0.7864,0.9,0.8944,0.8226,0.3793,0.7765,0.0238,0.890277459298326
25,66,3,0.871,0.7413,0.8612,0.8409,0.9,0.89,0.8642,0.4054,0.8087,0.0173,0.92719559734006
25,80,9,0.8797,0.7577,0.8651,0.8576,0.9,0.8907,0.8888,0.4138,0.8185,0.0249,0.938431552396239
25,85,2,0.8529,0.7044,0.8409,0.8182,0.8833,0.8849,0.8513,0.3957,0.7877,0.0233,0.903118550791103
50,18,4,0.8453,0.6893,0.8323,0.8045,0.8833,0.8677,0.8333,0.388,0.777,0.0197,0.890850722311397
50,26,7,0.854,0.7058,0.8349,0.7682,0.9333,0.9236,0.8137,0.3707,0.7853,0.0195,0.900366888328365
50,36,5,0.854,0.7089,0.8577,0.8939,0.8167,0.8362,0.8984,0.4312,0.7956,0.0142,0.912176106397615
50,45,6,0.8446,0.6893,0.8387,0.8227,0.8667,0.8701,0.8425,0.3967,0.7798,0.0199,0.894060995184591
50,46,9,0.8453,0.6899,0.8349,0.8227,0.8667,0.8671,0.8553,0.3967,0.7799,0.0174,0.894175647787205
50,61,2,0.8449,0.6914,0.8506,0.9121,0.7833,0.7995,0.9067,0.4399,0.7859,0.0192,0.90105480394405
50,62,3,0.863,0.7252,0.854,0.8409,0.8833,0.8872,0.8646,0.4054,0.8006,0.0231,0.917908736528319
50,63,3,0.8449,0.6892,0.8339,0.8045,0.8833,0.8825,0.8354,0.388,0.7784,0.013,0.892455858747994
50,65,4,0.862,0.7239,0.8548,0.8409,0.8833,0.8881,0.8684,0.4054,0.8006,0.0154,0.917908736528319
50,69,6,0.8438,0.6861,0.8282,0.8015,0.8833,0.8714,0.834,0.3873,0.7751,0.0309,0.888672322861729
50,73,8,0.8449,0.6882,0.8283,0.7848,0.9,0.9051,0.8239,0.379,0.7769,0.0233,0.890736069708782
50,75,3,0.8717,0.7419,0.8591,0.8227,0.9167,0.9083,0.8527,0.3967,0.8083,0.0248,0.926736986929603
50,75,4,0.8536,0.707,0.8478,0.8576,0.85,0.8538,0.8757,0.4138,0.7912,0.0203,0.907131391882596
50,82,9,0.8449,0.6888,0.831,0.7864,0.9,0.8979,0.8244,0.3793,0.7773,0.0171,0.891194680119239
75,21,2,0.8457,0.6912,0.8418,0.8409,0.85,0.8496,0.8518,0.4054,0.781,0.0261,0.89543682641596
