"Data","minSplit","minBucket","Cp","maxDepth","Accuracy","Kappa","F1","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Detection.Rate","Desirability","rPART_mod.SE","nDesirability","nDesirability.1"
"ACE",5,3,0,6,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0,8,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0,10,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0.001,6,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0.001,8,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0.001,10,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0.01,6,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0.01,8,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,3,0.01,10,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",5,5,0,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0.001,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0.001,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0.001,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0.01,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0.01,8,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",5,5,0.01,10,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
"ACE",6,3,0,6,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0,8,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0,10,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0.001,6,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0.001,8,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0.001,10,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0.01,6,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0.01,8,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,3,0.01,10,0.7507,0.4986,0.7143,0.6455,0.85,0.8033,0.7195,0.3109,0.6586,0.0305,0.965689149560117,0.965689149560117
"ACE",6,5,0,6,0.742,0.481,0.7084,0.6788,0.8,0.8103,0.7396,0.3275,0.6536,0.0272,0.958357771260997,0.958357771260997
